operon_id	chrom	strand	start0	end0	length	sense_gene_locusNums	n_overlapping_deletions	overlap_class	per_hit_classes	overlapping_truncations	fully_deleted_genes	partially_deleted_genes	retained_genes	gene_deletion_pattern
OP_00206	CP002027.1	+	473583	475427	1844	0387,0388	0	intact					0387,0388	intact
OP_00207	CP002027.1	+	475475	478563	3088	0389,0390	0	intact					0389,0390	intact
OP_00208	CP002027.1	+	478611	480874	2263	0391,0392,0393	1	intra_truncated	intra_truncated	CP002027.1:479540-480825		0393(1.00, 2bps)	0391,0392	lagging_deleted
OP_00209	CP002027.1	+	480926	483352	2426	0394	0	intact					0394	intact
OP_00210	CP002027.1	+	483397	484677	1280	0395	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:483409-489238		0395(1.00, 1bps)		all_deleted
OP_00211	CP002027.1	-	485378	488115	2737	0397,0396	1	fully_deleted	fully_deleted	CP002027.1:483409-489238	0396	0397(1.00, 2bps)		all_deleted
OP_00212	CP002027.1	-	489872	491772	1900	0398	0	intact					0398	intact
OP_00213	CP002027.1	+	491860	493707	1847	0399	0	intact					0399	intact
OP_00214	CP002027.1	+	494804	498115	3311	0399,0400,0401	0	intact					0399,0400,0401	intact
OP_00215	CP002027.1	+	499623	506830	7207	0401,0402,0403,0404,0405,0406,0407,0408	0	intact					0401,0402,0403,0404,0405,0406,0407,0408	intact
OP_00216	CP002027.1	+	507284	508061	777	0409	0	intact					0409	intact
OP_00217	CP002027.1	+	508069	509431	1362	0410	0	intact					0410	intact
OP_00218	CP002027.1	+	509456	515831	6375	0411,0412,0413	0	intact					0411,0412,0413	intact
OP_00219	CP002027.1	+	515842	518112	2270	0414	0	intact					0414	intact
OP_00220	CP002027.1	-	518125	521155	3030	0415	0	intact					0415	intact
OP_00221	CP002027.1	-	521434	522282	848	0417,0416	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:521837-522282		0417(0.98, 11bps)	0416	leading_deleted
OP_00222	CP002027.1	-	522390	526141	3751	0421,0420,0419,0418	0	intact					0421,0420,0419,0418	intact
OP_00223	CP002027.1	+	526287	527159	872	0422,0423,0424	0	intact					0422,0423,0424	intact
OP_00224	CP002027.1	+	527167	530471	3304	0425,0426	0	intact					0425,0426	intact
OP_00225	CP002027.1	+	530887	536420	5533	0427,0428,0429,0430,0431,0432,0433	0	intact					0427,0428,0429,0430,0431,0432,0433	intact
OP_00226	CP002027.1	+	536426	539344	2918	0434,0435,0436	1	intra_truncated	intra_truncated	CP002027.1:538698-539341		0436(0.98, 11bps)	0434,0435	lagging_deleted
OP_00227	CP002027.1	+	539392	540421	1029	0437	0	intact					0437	intact
OP_00228	CP002027.1	-	540386	545985	5599	0440,0439,0438	0	intact					0440,0439,0438	intact
OP_00229	CP002027.1	+	546123	547362	1239	0441	0	intact					0441	intact
OP_00230	CP002027.1	+	547364	547802	438	0442	0	intact					0442	intact
OP_00231	CP002027.1	+	547794	548358	564	0443	0	intact					0443	intact
OP_00232	CP002027.1	+	548378	550274	1896	0444	0	intact					0444	intact
OP_00233	CP002027.1	+	550479	553644	3165	0445,0446,0447,0448	2	multi:3'_truncation_UTR+intra_truncated	intra_truncated;3'_truncation_UTR	CP002027.1:551789-552252;CP002027.1:553594-555079		0446(1.00, 2bps)	0445,0447,0448	intra_deleted
OP_00234	CP002027.1	+	553644	555056	1412	0449,0450	1	fully_deleted	fully_deleted	CP002027.1:553594-555079	0449,0450			all_deleted
OP_00235	CP002027.1	+	555199	556678	1479	0451	0	intact					0451	intact
OP_00236	CP002027.1	+	558654	561366	2712	0452,0453	0	intact					0452,0453	intact
OP_00237	CP002027.1	+	561556	563740	2184	0454	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0454			all_deleted
OP_00238	CP002027.1	-	563745	565420	1675	0455	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0455			all_deleted
OP_00239	CP002027.1	+	565788	566184	396	0924	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0924			all_deleted
OP_00240	CP002027.1	+	567210	569982	2772	0460	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0460			all_deleted
OP_00241	CP002027.1	-	570053	570785	732	0461	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0461			all_deleted
OP_00242	CP002027.1	-	570922	571465	543	0462	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0462			all_deleted
OP_00243	CP002027.1	-	571465	574972	3507	0466,0465,0464,0463	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0466,0465,0464,0463			all_deleted
OP_00244	CP002027.1	+	575090	577552	2462	0467,0468,0469	1	fully_deleted	fully_deleted	CP002027.1:561556-581943	0467,0468,0469			all_deleted
OP_00245	CP002027.1	+	578872	581991	3119	0472,0473,0474	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:561556-581943	0472,0473,0474			all_deleted
OP_00246	CP002027.1	-	581278	584249	2971	0476,0475	2	multi:3'_truncation_UTR+5'_truncation_gene	3'_truncation_UTR;5'_truncation_gene	CP002027.1:561556-581943;CP002027.1:583080-585099		0476(1.00, 1bps)	0475	leading_deleted
OP_00247	CP002027.1	+	584327	585155	828	0477	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:583080-585099		0477(0.94, 41bps)		all_deleted
OP_00248	CP002027.1	-	585771	587437	1666	0479	0	intact					0479	intact
OP_00249	CP002027.1	+	587510	589586	2076	0480	1	intra_truncated	intra_truncated	CP002027.1:587539-589539		0480(1.00, 1bps)		all_deleted
OP_00250	CP002027.1	-	589610	590048	438	0481	0	intact					0481	intact
OP_00251	CP002027.1	+	590363	590528	165	0482	0	intact					0482	intact
OP_00252	CP002027.1	+	590636	591197	561	0483	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:590637-601785		0483(1.00, 1bps)		all_deleted
OP_00253	CP002027.1	+	591213	592137	924	0484	1	fully_deleted	fully_deleted	CP002027.1:590637-601785	0484			all_deleted
OP_00254	CP002027.1	+	592214	593573	1359	0485	1	fully_deleted	fully_deleted	CP002027.1:590637-601785	0485			all_deleted
OP_00255	CP002027.1	-	593588	594398	810	0486	1	fully_deleted	fully_deleted	CP002027.1:590637-601785	0486			all_deleted
OP_00256	CP002027.1	+	595246	596562	1316	0487,0488	1	fully_deleted	fully_deleted	CP002027.1:590637-601785	0487,0488			all_deleted
OP_00257	CP002027.1	+	597881	600620	2739	0490	1	fully_deleted	fully_deleted	CP002027.1:590637-601785	0490			all_deleted
OP_00258	CP002027.1	-	600629	603220	2591	0493,0492,0491	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:590637-601785	0492,0491		0493	lagging_deleted
OP_00259	CP002027.1	-	603362	604043	681	0494	0	intact					0494	intact
OP_00260	CP002027.1	-	604071	608090	4019	0498,0497,0496,0495	1	intra_truncated	intra_truncated	CP002027.1:604988-608019	0497	0498(1.00, 1bps),0496(0.96, 19bps)	0495	leading_deleted
OP_00261	CP002027.1	-	608132	610788	2656	0504,0503,0501,0500,0499	0	intact					0504,0503,0501,0500,0499	intact
OP_00262	CP002027.1	+	610899	612021	1122	0505	0	intact					0505	intact
OP_00263	CP002027.1	-	612044	614340	2296	0512,0511,0510,0509,0508,0507,0506	0	intact					0512,0511,0510,0509,0508,0507,0506	intact
OP_00264	CP002027.1	-	614413	614746	333	0513	0	intact					0513	intact
OP_00265	CP002027.1	-	615130	622175	7045	0519,0518,0517,0516,0515,0514	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:614765-615840		0514(1.00, 2bps)	0519,0518,0517,0516,0515	lagging_deleted
OP_00266	CP002027.1	-	623451	625215	1764	0522,0521,0520	0	intact					0522,0521,0520	intact
OP_00267	CP002027.1	-	626180	628239	2059	0527,0526,0525,0524,0523	0	intact					0527,0526,0525,0524,0523	intact
OP_00268	CP002027.1	-	628695	632105	3410	0529,0528	0	intact					0529,0528	intact
OP_00269	CP002027.1	-	632114	632723	609	0530	0	intact					0530	intact
OP_00270	CP002027.1	-	635441	637202	1761	0531	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:632731-637180	0531			all_deleted
OP_00271	CP002027.1	-	637295	642127	4832	0534,0533,0532	0	intact					0534,0533,0532	intact
OP_00272	CP002027.1	-	642236	647920	5684	0540,0539,0538,0537,0536,0535	0	intact					0540,0539,0538,0537,0536,0535	intact
OP_00273	CP002027.1	+	645753	647412	1659		0	intact						intact
OP_00274	CP002027.1	-	648075	650802	2727	0542,0541	0	intact					0542,0541	intact
OP_00275	CP002027.1	-	651606	654826	3220	0545,0544,0543	0	intact					0545,0544,0543	intact
OP_00276	CP002027.1	-	654878	656997	2119	0549,0548,0547,0546	0	intact					0549,0548,0547,0546	intact
OP_00277	CP002027.1	+	657129	659733	2604	0550	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:657178-728756	0550			all_deleted
OP_00278	CP002027.1	+	659834	662424	2590	0551	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0551			all_deleted
OP_00279	CP002027.1	+	662694	663483	789	0552	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0552			all_deleted
OP_00280	CP002027.1	+	663751	664993	1242	0553	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0553			all_deleted
OP_00281	CP002027.1	+	665165	665999	834	0554	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0554			all_deleted
OP_00282	CP002027.1	+	666027	668043	2016	0555	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0555			all_deleted
OP_00283	CP002027.1	+	668058	669015	957	0556	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0556			all_deleted
OP_00284	CP002027.1	+	668998	669916	918	0557	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0557			all_deleted
OP_00285	CP002027.1	+	669930	670347	417	0558	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0558			all_deleted
OP_00286	CP002027.1	+	670611	671802	1191	0559	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0559			all_deleted
OP_00287	CP002027.1	+	672361	673731	1370	0560,0561	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0560,0561			all_deleted
OP_00288	CP002027.1	+	673861	674092	231	0562	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0562			all_deleted
OP_00289	CP002027.1	+	674119	676843	2724	0563	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0563			all_deleted
OP_00290	CP002027.1	+	676949	677135	186	0564	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0564			all_deleted
OP_00291	CP002027.1	+	677224	677602	378	0565	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0565			all_deleted
OP_00292	CP002027.1	+	677608	679531	1923	0566	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0566			all_deleted
OP_00293	CP002027.1	+	680338	682554	2216	0567,0568	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0567,0568			all_deleted
OP_00294	CP002027.1	+	683123	688091	4968	0569	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0569			all_deleted
OP_00295	CP002027.1	+	688390	689324	934	0570	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0570			all_deleted
OP_00296	CP002027.1	+	689488	689854	366	0571	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0571			all_deleted
OP_00297	CP002027.1	+	690077	690992	915	0572	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0572			all_deleted
OP_00298	CP002027.1	+	691041	692274	1233	0573	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0573			all_deleted
OP_00299	CP002027.1	+	692618	695448	2830	0574	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0574			all_deleted
OP_00300	CP002027.1	-	695414	700499	5085	0577,0576,0575	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0577,0576,0575			all_deleted
OP_00301	CP002027.1	-	700692	701136	444	0578	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0578			all_deleted
OP_00302	CP002027.1	-	701135	702047	912	0579	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0579			all_deleted
OP_00303	CP002027.1	-	702048	702543	495	0580	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0580			all_deleted
OP_00304	CP002027.1	-	702517	703981	1464	0581	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0581			all_deleted
OP_00305	CP002027.1	-	705379	709012	3633	0583,0582	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0583,0582			all_deleted
OP_00306	CP002027.1	-	709085	714010	4925	0585,0584	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0585,0584			all_deleted
OP_00307	CP002027.1	-	715024	718393	3369	0587,0586	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0587,0586			all_deleted
OP_00308	CP002027.1	-	720564	724120	3556	0589,0588	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0589,0588			all_deleted
OP_00309	CP002027.1	-	724656	727071	2415	0590,0926,0925	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0590,0926,0925			all_deleted
OP_00310	CP002027.1	+	726176	726560	384	0927	1	fully_deleted	fully_deleted	CP002027.1:657178-728756	0927			all_deleted
OP_00311	CP002027.1	-	728030	730604	2574	0592,0591	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:657178-728756	0591		0592	lagging_deleted
OP_00312	CP002027.1	-	730894	733069	2175	0594,0593	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:731219-740661	0594		0593	leading_deleted
OP_00313	CP002027.1	+	733269	734646	1377	0595	1	fully_deleted	fully_deleted	CP002027.1:731219-740661	0595			all_deleted
OP_00314	CP002027.1	+	737608	741341	3733	0596,0597,0598	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:731219-740661	0596,0597	0598(1.00, 1bps)		all_deleted
OP_00315	CP002027.1	+	741638	747220	5582	0600,0601,0602,0604,0603	0	intact					0600,0601,0602,0604,0603	intact
OP_00316	CP002027.1	+	747353	747662	309	0605	0	intact					0605	intact
OP_00317	CP002027.1	-	747876	750321	2445	0607,0606	0	intact					0607,0606	intact
OP_00318	CP002027.1	-	750371	751310	939	0608	0	intact					0608	intact
OP_00319	CP002027.1	-	751319	752504	1185	0609	0	intact					0609	intact
OP_00320	CP002027.1	-	752660	753485	825	0610	0	intact					0610	intact
OP_00321	CP002027.1	-	753495	756231	2736	0611	0	intact					0611	intact
OP_00322	CP002027.1	-	756239	759203	2964	0612	0	intact					0612	intact
OP_00323	CP002027.1	-	759364	762319	2955	0615,0614,0613	0	intact					0615,0614,0613	intact
OP_00324	CP002027.1	+	762207	764102	1895	0616,0617	0	intact					0616,0617	intact
OP_00325	CP002027.1	-	764070	765079	1009	0621,0620,0619,0618	0	intact					0621,0620,0619,0618	intact
OP_00326	CP002027.1	-	765082	765445	363	0622	0	intact					0622	intact
OP_00327	CP002027.1	-	765431	766502	1071	0623	0	intact					0623	intact
OP_00328	CP002027.1	-	766602	766678	76	0624	0	intact					0624	intact
OP_00329	CP002027.1	-	766798	767731	933	0625	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:766800-776197		0625(1.00, 2bps)		all_deleted
OP_00330	CP002027.1	-	767767	771508	3741	0628,0627,0626	1	fully_deleted	fully_deleted	CP002027.1:766800-776197	0628,0627,0626			all_deleted
OP_00331	CP002027.1	-	771785	772163	378	0629	1	fully_deleted	fully_deleted	CP002027.1:766800-776197	0629			all_deleted
OP_00332	CP002027.1	+	772383	773271	888	0630	1	fully_deleted	fully_deleted	CP002027.1:766800-776197	0630			all_deleted
OP_00333	CP002027.1	-	774033	776214	2181	0633,0632	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:766800-776197	0633,0632			all_deleted
OP_00334	CP002027.1	-	776238	778753	2515	0634	0	intact					0634	intact
OP_00335	CP002027.1	-	778815	778892	77	0635	0	intact					0635	intact
OP_00336	CP002027.1	-	779903	783364	3461	0639,0638,0637,0636	0	intact					0639,0638,0637,0636	intact
OP_00337	CP002027.1	-	784920	787073	2153	0639	0	intact					0639	intact
OP_00338	CP002027.1	-	787135	788904	1769	0641,0640	0	intact					0641,0640	intact
OP_00339	CP002027.1	-	789203	791071	1868	0643,0642	0	intact					0643,0642	intact
OP_00340	CP002027.1	-	791115	795146	4031	0651,0650,0649,0648,0647,0646,0645,0644	0	intact					0651,0650,0649,0648,0647,0646,0645,0644	intact
OP_00341	CP002027.1	-	795222	806176	10954	0672,0671,0670,0669,0668,0667,0666,0665,0664,0663,0662,0661,0660,0659,0658,0657,0656,0655,0654,0653,0652	0	intact					0672,0671,0670,0669,0668,0667,0666,0665,0664,0663,0662,0661,0660,0659,0658,0657,0656,0655,0654,0653,0652	intact
OP_00342	CP002027.1	-	806303	807386	1083	0673	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:806355-811864		0673(0.99, 5bps)		all_deleted
OP_00343	CP002027.1	-	807456	809085	1629	0674	1	fully_deleted	fully_deleted	CP002027.1:806355-811864	0674			all_deleted
OP_00344	CP002027.1	-	809092	810640	1548	0675	1	fully_deleted	fully_deleted	CP002027.1:806355-811864	0675			all_deleted
OP_00345	CP002027.1	-	810755	812112	1357	0676	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:806355-811864	0676			all_deleted
OP_00346	CP002027.1	-	812149	813731	1582	0681,0680,0679,0678	1	intra_truncated	intra_truncated	CP002027.1:812216-813128			0681,0680,0679,0678	intact
OP_00347	CP002027.1	+	812168	813093	925	0677	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:812216-813128	0677			all_deleted
OP_00348	CP002027.1	-	813800	814964	1164	0682	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:813808-815809		0682(0.99, 8bps)		all_deleted
OP_00349	CP002027.1	-	815045	818314	3269	0685,0684,0683	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:813808-815809		0683(0.97, 23bps)	0685,0684	lagging_deleted
OP_00350	CP002027.1	+	818357	819131	774	0686	0	intact					0686	intact
OP_00351	CP002027.1	-	819101	822369	3268	0690,0689,0688,0687	0	intact					0690,0689,0688,0687	intact
OP_00352	CP002027.1	-	826270	828590	2320	0694,0693,0692,0691	0	intact					0694,0693,0692,0691	intact
OP_00353	CP002027.1	-	830393	832550	2157	0697,0696,0695	0	intact					0697,0696,0695	intact
OP_00354	CP002027.1	-	833549	834748	1199	0699,0698	1	fully_deleted	fully_deleted	CP002027.1:832677-844099	0699,0698			all_deleted
OP_00355	CP002027.1	-	834997	837322	2325	0700	1	fully_deleted	fully_deleted	CP002027.1:832677-844099	0700			all_deleted
OP_00356	CP002027.1	-	837437	840760	3323	0702,0701	1	fully_deleted	fully_deleted	CP002027.1:832677-844099	0702,0701			all_deleted
OP_00357	CP002027.1	-	842205	844123	1918	0705,0704,0703	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:832677-844099	0705,0704,0703			all_deleted
OP_00358	CP002027.1	-	845452	849412	3960	0710,0708,0707,0706	0	intact					0710,0708,0707,0706	intact
OP_00359	CP002027.1	+	849513	851163	1650	0711,0712	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:849524-856517	0711,0712			all_deleted
OP_00360	CP002027.1	-	851125	852921	1796	0714,0713	1	fully_deleted	fully_deleted	CP002027.1:849524-856517	0714,0713			all_deleted
OP_00361	CP002027.1	-	853893	855268	1375	0715	1	fully_deleted	fully_deleted	CP002027.1:849524-856517	0715			all_deleted
OP_00362	CP002027.1	+	855375	856518	1143	0716	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:849524-856517		0716(1.00, 1bps)		all_deleted
OP_00363	CP002027.1	+	856680	861730	5050	0717,0718,0719,0720,0721,0722,0723,0724,0725,0726,0727,0728,0729	0	intact					0717,0718,0719,0720,0721,0722,0723,0724,0725,0726,0727,0728,0729	intact
OP_00364	CP002027.1	+	861767	863451	1684	0730,0731	1	intra_truncated	intra_truncated	CP002027.1:862388-863402	0731		0730	lagging_deleted
OP_00365	CP002027.1	-	863400	865857	2457	0733,0732	1	3'_truncation_UTR	3'_truncation_UTR	CP002027.1:862388-863402			0733,0732	intact
OP_00366	CP002027.1	+	865851	867402	1551	0734	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:865971-878161	0734			all_deleted
OP_00367	CP002027.1	-	868208	868751	543	0736	1	fully_deleted	fully_deleted	CP002027.1:865971-878161	0736			all_deleted
OP_00368	CP002027.1	-	868751	869950	1199	0741,0740,0739,0738,0737	1	fully_deleted	fully_deleted	CP002027.1:865971-878161	0741,0740,0739,0738,0737			all_deleted
OP_00369	CP002027.1	-	872161	877629	5468	0745,0744,0743,0742	1	fully_deleted	fully_deleted	CP002027.1:865971-878161	0745,0744,0743,0742			all_deleted
OP_00370	CP002027.1	+	877169	879140	1971	0746,0747	2	multi:3'_truncation_UTR+5'_truncation_gene	5'_truncation_gene;3'_truncation_UTR	CP002027.1:865971-878161;CP002027.1:879068-907483		0746(1.00, 4bps)	0747	leading_deleted
OP_00371	CP002027.1	-	879016	880514	1498	0749,0748	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:879068-907483	0749,0748			all_deleted
OP_00372	CP002027.1	-	881547	882971	1424	0750	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0750			all_deleted
OP_00373	CP002027.1	-	883948	886760	2812	0751	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0751			all_deleted
OP_00374	CP002027.1	+	887084	888137	1053	0752,0753	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0752,0753			all_deleted
OP_00375	CP002027.1	-	888225	890196	1971	0755,0754	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0755,0754			all_deleted
OP_00376	CP002027.1	+	890219	892344	2125	0756	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0756			all_deleted
OP_00377	CP002027.1	-	892690	893784	1094	0758,0757	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0758,0757			all_deleted
OP_00378	CP002027.1	-	894823	895702	879	0759	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0759			all_deleted
OP_00379	CP002027.1	-	895703	896162	459	0760	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0760			all_deleted
OP_00380	CP002027.1	-	896175	898842	2667	0761	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0761			all_deleted
OP_00381	CP002027.1	-	898853	900695	1842	0762	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0762			all_deleted
OP_00382	CP002027.1	-	900709	901486	777	0763	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0763			all_deleted
OP_00383	CP002027.1	-	901651	902203	552	0764	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0764			all_deleted
OP_00384	CP002027.1	-	902238	903537	1299	0765	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0765			all_deleted
OP_00385	CP002027.1	-	903639	904713	1074	0766	1	fully_deleted	fully_deleted	CP002027.1:879068-907483	0766			all_deleted
OP_00386	CP002027.1	-	904470	911270	6800	0773,0772,0771,0770,0769,0768,0767,0766	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:879068-907483	0769,0768,0767,0766	0770(1.00, 1bps)	0773,0772,0771	lagging_deleted
OP_00387	CP002027.1	+	908963	914398	5435	0774,0775,0776	0	intact					0774,0775,0776	intact
OP_00388	CP002027.1	-	911392	913102	1710		0	intact						intact
OP_00389	CP002027.1	+	913972	914998	1026	0775,0776,0777	0	intact					0775,0776,0777	intact
OP_00390	CP002027.1	+	915014	920373	5359	0778,0779,0780,0781,0782	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:917652-924893	0781,0782	0780(1.00, 2bps)	0778,0779	lagging_deleted
OP_00391	CP002027.1	+	920379	921345	966	0783	1	fully_deleted	fully_deleted	CP002027.1:917652-924893	0783			all_deleted
OP_00392	CP002027.1	-	921350	924996	3646	0786,0785,0784	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:917652-924893	0785,0784	0786(1.00, 2bps)		all_deleted
OP_00393	CP002027.1	-	925093	928367	3274	0787	1	5'_truncation_UTR	5'_truncation_UTR	CP002027.1:928330-929517			0787	intact
OP_00394	CP002027.1	-	929733	933643	3910	0792,0791,0790,0789	0	intact					0792,0791,0790,0789	intact
OP_00395	CP002027.1	-	933709	936510	2801	0797,0796,0795,0794,0793,0792	0	intact					0797,0796,0795,0794,0793,0792	intact
OP_00396	CP002027.1	-	936575	937263	688	0798	0	intact					0798	intact
OP_00397	CP002027.1	-	937306	941608	4302	0802,0800,0799	1	intra_truncated	intra_truncated	CP002027.1:939085-941581	0802		0800,0799	leading_deleted
OP_00398	CP002027.1	-	942276	947623	5347	0804,0803	0	intact					0804,0803	intact
OP_00399	CP002027.1	-	949608	953023	3415	0810,0809,0807,0806,0805	0	intact					0810,0809,0807,0806,0805	intact
OP_00400	CP002027.1	-	953141	954020	879	0811	1	fully_deleted	fully_deleted	CP002027.1:953141-955926	0811			all_deleted
OP_00401	CP002027.1	-	954549	955926	1377	0812	1	fully_deleted	fully_deleted	CP002027.1:953141-955926	0812			all_deleted
OP_00402	CP002027.1	+	956330	958510	2180	0813,0814	0	intact					0813,0814	intact
OP_00403	CP002027.1	+	958510	958648	138	0815	0	intact					0815	intact
OP_00404	CP002027.1	-	958935	959442	507	0928	1	fully_deleted	fully_deleted	CP002027.1:958918-960048	0928			all_deleted
OP_00405	CP002027.1	+	959416	959686	270	0929	1	fully_deleted	fully_deleted	CP002027.1:958918-960048	0929			all_deleted
OP_00406	CP002027.1	-	959985	966034	6049	0821,0820,0819,0818,0817	1	3'_truncation_UTR	3'_truncation_UTR	CP002027.1:958918-960048			0821,0820,0819,0818,0817	intact
OP_00407	CP002027.1	-	966064	972799	6735	0825,0824,0823,0822	0	intact					0825,0824,0823,0822	intact
OP_00408	CP002027.1	+	973887	975507	1620	0826,0827	0	intact					0826,0827	intact
OP_00409	CP002027.1	+	975612	975687	75	0828	0	intact					0828	intact
OP_00410	CP002027.1	+	975776	976959	1183	0829,0830	1	intra_truncated	intra_truncated	CP002027.1:975827-976616		0829(0.99, 9bps)	0830	leading_deleted
OP_00411	CP002027.1	+	977049	978087	1038	0831	0	intact					0831	intact
OP_00412	CP002027.1	+	978523	979084	561	0832	0	intact					0832	intact
OP_00413	CP002027.1	+	979185	986735	7550	0833,0834,0835,0836,0837,0838,0839,0840	0	intact					0833,0834,0835,0836,0837,0838,0839,0840	intact
OP_00414	CP002027.1	+	990637	993917	3280	0841,0842	1	fully_deleted	fully_deleted	CP002027.1:987121-1003970	0841,0842			all_deleted
OP_00415	CP002027.1	+	996009	998095	2086	0843,0844	1	fully_deleted	fully_deleted	CP002027.1:987121-1003970	0843,0844			all_deleted
OP_00416	CP002027.1	+	999401	1000960	1559	0845,0846	1	fully_deleted	fully_deleted	CP002027.1:987121-1003970	0845,0846			all_deleted
OP_00417	CP002027.1	-	1001768	1002311	543	0265	1	fully_deleted	fully_deleted	CP002027.1:987121-1003970	0265			all_deleted
OP_00418	CP002027.1	-	1002311	1004255	1944	0851,0850,0849	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:987121-1003970	0850,0849		0851	lagging_deleted
OP_00419	CP002027.1	-	1004384	1005833	1449	0854,0853,0852	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:1005339-1011820		0854(0.97, 16bps)	0853,0852	leading_deleted
OP_00420	CP002027.1	-	1006137	1009341	3204	0856,0855	1	fully_deleted	fully_deleted	CP002027.1:1005339-1011820	0856,0855			all_deleted
OP_00421	CP002027.1	+	1009543	1010805	1262	0858	1	fully_deleted	fully_deleted	CP002027.1:1005339-1011820	0858			all_deleted
OP_00422	CP002027.1	+	1011754	1014003	2249	0859	1	5'_truncation_UTR	5'_truncation_UTR	CP002027.1:1005339-1011820			0859	intact
